lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,typeLAB
39.75,-118,9.68676,0.572007,0.075342,0.0447453,Ps,10.6209,0.414804,0.0384774,0.00920611,Sp
40,-118,9.68746,0.617058,0.0855182,0.0443073,Ps,11.1607,1.24549,0.0274417,0.00332705,Sp
40.25,-118,9.8173,0.54317,0.0628496,0.0365132,Ps,9.88053,1.5349,0.0298709,0.00522698,Sp
40.5,-118,9.60946,0.485739,0.0828003,0.0447464,Ps,9.67264,1.27905,0.0350029,0.00348118,Sp
40.75,-118,9.99711,0.483416,0.0841602,0.0396176,Ps,10.7429,1.56347,0.0282553,0.00250942,Sp
41,-118,9.72926,0.546333,0.0878086,0.0445212,Ps,12.0757,1.24042,0.0294921,0.00270052,Sp
41.25,-118,9.6217,0.746028,0.0969898,0.0428398,Ps,11.5589,0.349341,0.0389699,0.00831913,Sp
41.5,-118,9.76411,0.876209,0.0965711,0.0397019,Ps,11.366,0.793219,0.0469279,0.00763322,Sp
41.75,-118,10.1574,0.874108,0.0977163,0.0323912,Ps,9.87322,0.794573,0.049288,0.00748432,Sp
42,-118,10.2653,0.933461,0.107699,0.0298971,Ps,10.3749,0.414024,0.0470381,0.00530062,Sp
42.25,-118,10.0169,0.873521,0.0822241,0.0241343,Ps,10.9691,0.191785,0.0433708,0.00267563,Sp
42.5,-118,9.59551,0.755209,0.0807598,0.030426,Ps,10.9223,0.224275,0.0428361,0.00206837,Sp
